rain_sum,temperature_2m_mean,cases
7.8,18.628557,8
9.471429,18.65981,15
9.828572,18.470821,20
10.1,18.802668,23
5.2285714,19.855345,24
4.4142857,19.852665,28
2.2857144,20.202368,35
6.028571,19.936892,37
8.771428,18.855345,41
11.742858,18.878857,44
13.728571,18.772013,52
14.214286,18.44493,58
6.6285715,19.249691,63
6.8142858,19.169333,68
9.428572,19.22469,74
5.7999997,19.562786,79
2.542857,19.91963,88
2.0142856,20.25356,103
9.8714285,19.376772,121
9.014286,19.470226,141
3.4857142,20.063677,163
0.78571427,21.229452,182
0.7285714,20.921118,218
2.2142856,20.548798,243
4.614286,19.378857,273
5.2428575,20.178263,309
2.3285713,19.35951,330
5.0,19.743734,361
6.3285713,19.883617,379
10.585714,19.264868,404
8.742857,18.673498,425
5.457143,19.04463,438
1.5285712,20.273203,455
13.5,17.999691,475
11.028571,18.235998,486
8.985714,18.172012,499
8.8714285,18.088976,513
11.142858,18.810701,524
11.928572,17.717546,527
6.9000006,18.35356,543
3.9285715,18.864573,549
4.0285716,18.394629,554
16.242857,18.035702,563
1.8428571,19.256535,569
0.14285715,20.204748,575
0.028571429,20.410997,588
0.028571429,19.973497,601
4.4428573,19.798798,616
