year,epweek,cases
2009,519,8
2009,520,4
2009,521,8
2009,522,6
2010,523,18
2010,524,13
2010,525,15
2010,526,14
2010,527,23
2010,528,29
2010,529,48
2010,530,47
2010,531,43
2010,532,35
2010,533,51
2010,534,54
2010,535,48
2010,536,40
2010,537,35
2010,538,54
2010,539,42
2010,540,39
2010,541,66
2010,542,65
2010,543,55
2010,544,65
2010,545,55
2010,546,51
2010,547,54
2010,548,48
2010,549,55
2010,550,40
2010,551,56
2010,552,64
2010,553,69
2010,554,57
2010,555,37
2010,556,48
2010,557,55
2010,558,35
2010,559,29
2010,560,26
2010,561,21
2010,562,26
2010,563,16
2010,564,17
2010,565,9
2010,566,12
2010,567,14
2010,568,8
2010,569,4
2010,570,5
2010,571,3
2010,572,2
2010,573,1
2010,574,3
2011,575,9
2011,576,6
2011,577,10
2011,578,1
2011,579,2
2011,580,4
2011,581,3
